market,symbol,name,start_price,end_price,total_return,annual_return,max_drawdown,volatility
A 股,601088,中国神华,18.71,49.55,164.8316408337787,21.504950898483987,-23.557828928672915,32.14044063354194
A 股,601225,陕西煤业,11.29,27.16,140.56687333923827,19.192015805913698,-36.51618058330004,36.181215481808366
A 股,600188,兖矿能源,12.87,21.06,63.63636363636363,10.35092145999348,-78.16965093145234,53.52530977339768
A 股,601006,大秦铁路,6.84,5.31,-22.368421052631582,-4.937838736319755,-38.289962825278806,17.01158123419822
A 股,000895,双汇发展,40.81,28.3,-30.654251408968392,-7.059721795073692,-48.92889699179581,24.408256614052515
